Date;Population, total;Population growth (annual %);Surface area (sq. km);Population density (people per sq. km of land area);Poverty headcount ratio at national poverty lines (% of population);Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population);GNI, Atlas method (current US$);GNI per capita, Atlas method (current US$);GNI, PPP (current international $);GNI per capita, PPP (current international $);Income share held by lowest 20%;Life expectancy at birth, total (years);Fertility rate, total (births per woman);Adolescent fertility rate (births per 1,000 women ages 15-19);Contraceptive prevalence, any method (% of married women ages 15-49);Births attended by skilled health staff (% of total);Mortality rate, under-5 (per 1,000 live births);Prevalence of underweight, weight for age (% of children under 5);Immunization, measles (% of children ages 12-23 months);Primary completion rate, total (% of relevant age group);School enrollment, primary (% gross);School enrollment, secondary (% gross);School enrollment, primary and secondary (gross), gender parity index (GPI);Prevalence of HIV, total (% of population ages 15-49);Forest area (sq. km);Terrestrial and marine protected areas (% of total territorial area);Annual freshwater withdrawals, total (% of internal resources);Urban population growth (annual %);Energy use (kg of oil equivalent per capita);CO2 emissions (metric tons per capita);Electric power consumption (kWh per capita);GDP (current US$);GDP growth (annual %);Inflation, GDP deflator (annual %);Agriculture, forestry, and fishing, value added (% of GDP);Industry (including construction), value added (% of GDP);Gross capital formation (% of GDP);Revenue, excluding grants (% of GDP);Time required to start a business (days);Domestic credit provided by financial sector (% of GDP);Tax revenue (% of GDP);Mobile cellular subscriptions (per 100 people);High-technology exports (% of manufactured exports);Statistical Capacity Score (Overall Average) (scale 0 - 100);Net barter terms of trade index (2015 = 100);External debt stocks, total (DOD, current US$);Total debt service (% of exports of goods, services and primary income);Net migration;Personal remittances, received (current US$);Foreign direct investment, net inflows (BoP, current US$);Net official development assistance and official aid received (current US$);Labor force with advanced education (% of total working-age population with advanced education);Secondary education, general pupils
1990;39877570;3.0783936947649;1219090;32.8727217271596;..;..;115173368217.034;2890;251232782595.216;6300;..;63.375;3.724;95.872;..;..;62.2;..;79;..;104.805740356445;68.8843383789063;1.04732000827789;0.8;181420.9;..;29.6674107142857;4.10600304148358;2280.88281206703;6.20937283791364;3911.67265206982;126048148261.474;-0.317760426540374;15.4454404639221;3.7770561775014;35.6076007199649;18.2312412035802;23.3568517786016;..;86.9120281362782;21.1874515142874;0.014243596;..;..;74.9276260526;..;..;231224;135594375.6;-75722412.1197068;..;..;2701024
1991;40910959;2.55839629290863;1219090;33.7245867990009;..;..;123522083519.421;3020;259769206822.741;6350;..;63.265;3.618;91.064;..;..;60.9;..;85;77.0677185058594;105.604148864746;72.3145370483398;1.05122005939484;1.4;181056.9;..;29.4857142857143;3.54701579087319;2321.64604110111;5.92227622921281;3806.16841565606;135203698237.977;-1.0182449675445;15.6545219222237;3.74350458027535;34.4217067552365;17.8354850806236;22.6576311137301;..;..;20.9961429260192;0.017354763;..;..;75.6183305511;..;..;12361;129111648.6;254133621.740141;..;..;2902851
1992;41760755;2.05590495450165;1219090;34.4251086069459;..;..;137269829900.721;3290;260989209889.806;6250;..;63.341;3.479;87.002;..;..;60.1;..;85;..;..;..;..;2.1;180692.9;..;29.3040178571429;2.9726482488582;2121.27520204077;5.7178228698212;3701.46564639456;146956142398.778;-2.13703284500521;14.7140252811412;3.14920989404015;33.060858320151;15.7145549853145;20.9120993698717;..;106.386981563797;18.8799893109627;0.029956355;..;..;73.6626840831;..;..;-85560;119277252.2;3358018.17406729;..;..;2480699
1993;42525440;1.81454621703216;1219090;35.0554699156699;..;33.5;146497908095.999;3440;270992678681.204;6370;2.9;63.045;3.372;82.785;..;..;59.9;..;85;..;..;..;..;3;180328.9;..;29.1223214285714;2.72109466573998;2232.49774723083;5.79525808551305;3749.70840983656;147194766334.415;1.23355793864741;13.3642582610797;3.42257462613413;31.9307593029594;14.161207817224;21.6283156898605;..;114.312730623083;19.8688359609019;0.094061343;..;..;74.4167558396;..;..;-96947;101700241.1;11290546.0235309;270450012.207031;..;2658726
1994;43267982;1.7310430672935;1219090;35.6675778384126;..;..;156126043576.048;3610;286309087420.625;6620;..;62.612;3.258;78.896;..;82;60.4;8;76;..;109.411567687988;80.8327789306641;1.03219997882843;4;179964.9;..;28.940625;2.62944370313621;2268.84625680024;5.82621348044381;3814.22919146079;153512697970.738;3.20000000297172;9.81218708489008;3.75544808249115;31.230316330669;16.4704957860317;21.3189452868409;..;119.863847266264;19.6043743222704;0.785800456;..;..;77.0278701262;21670999666;9.36758930091833;-76997;98765754.7;374410441.074407;293079986.572266;..;3523594
1995;43986084;1.64603954100981;1219090;36.2595388635633;..;..;166096229002.693;3780;301079179796.867;6840;..;62.262;3.172;76.521;..;82;61.3;..;76;..;110.88697052002;..;..;5.2;179600.9;..;28.7589285714286;2.53460767593068;2354.00721282667;6.00761595417314;3916.51141301872;171735933897.331;3.10000000054411;10.8383194557783;3.12158524596013;30.9818655662995;17.7000132325077;22.0235699547948;..;122.798359450829;20.2955260214681;1.216293771;..;..;76.1387407181;25357999878.7;9.54104315338023;-98300;82687213.0210113;1248424932.7343;386170013.427734;..;3749449
1996;44661603;1.52408280185649;1219090;36.8163969697219;..;..;171034741934.041;3830;319018919127.927;7140;..;61.459;2.991;72.701;..;..;62.6;..;76;..;..;..;..;6.5;179236.9;..;28.7098214285714;2.40300208277616;2369.14089268135;6.13600232844307;4450.89263813482;163234919052.67;4.29999999726792;8.02208799242219;3.41658824480889;29.8899862560641;16.5683988950434;22.9647545373647;..;122.924079472061;20.9846364817904;2.133823992;..;..;77.1742877175;26050000159.4;11.5837638315913;-85040;74885755.32232;816389273.755429;362339996.337891;..;..
1997;45285048;1.38627725951906;1219090;37.3303283350782;..;..;171441003529.555;3790;332958131892.656;7350;..;60.805;2.734;68.071;..;..;64.5;..;82;..;108.843223571777;..;..;7.9;178872.9;..;28.6607142857143;2.25934493053968;2399.68205399716;6.37262877583789;4574.02628788204;168978069551.36;2.60000000146347;8.13743291858027;3.265895498876;29.2506309429667;16.2941004369842;23.054873900491;..;121.487410505159;21.2498395625278;4.054318326;..;..;76.5475236297;30633902795.8;17.2331902439244;-56052;175998209.228206;3810543923.03317;495589996.337891;..;..
1998;45852166;1.24455268099471;1219090;37.7978270367409;..;..;156902327558.447;3420;337832435798.574;7370;..;60.001;2.63;67.917;56.3;84.4;66.6;..;79;84.8704833984375;107.464241027832;86.8002014160156;1.0359799861908;9.1;178508.9;..;28.6116071428571;2.10827495435801;2354.51690548272;6.45982351193617;4388.88753914046;152982979945.103;0.50000000034143;8.07573837316775;3.03418044396185;28.576366566325;16.4278913701127;23.5980988040593;..;122.125200133018;21.9639431431796;7.27773689;..;..;74.7068796412;26014665566.3;12.1717277298192;-59065;258605546.664454;550338595.971811;515640014.648438;..;4084064
1999;46364681;1.1115545448798;1219090;38.2203142388446;..;..;154203173412.116;3330;350637642854.152;7560;..;59.241;2.559;68.485;..;..;68.6;9.8;75;79.950080871582;107.097930908203;84.5868911743164;1.0314199924469;10.3;178144.9;..;28.5625;1.96788212636932;2356.6327782995;6.00178614406945;4275.58209663947;151516952945.154;2.39999999746338;6.88883410122743;2.84639917281201;27.6656022125323;15.6550464913797;24.085492728306;..;134.766471199051;21.7599312426722;11.18955156;..;..;73.2710628634;25719811079.3;12.5005909915117;-77647;306862360.530565;1503332454.41012;543270019.53125;..;4078846
