ISO country numeric code,ISO country code,Country,World region,t0 Survey,t0 Year,t1 Survey,t1 Year,Region,t0 Multidimensional Poverty Index (MPI) range0to1,t1 Multidimensional Poverty Index (MPI) range0to1,Abs annualized MPI change value,Rel annualized MPI change % change,t0 Multidimensional Headcount Ratio (H),t1 Multidimensional Headcount Ratio (H),Abs annualized H change p.p,Rel annualized H change % change,t0 Intensity of Poverty (A) % of weighted deprivations,t1 Intensity of Poverty (A) % of weighted deprivations,Abs annualized A change p.p,Rel annualized A change in % change,t0 Vulnerable to poverty % pop.,t1 Vulnerable to poverty % pop.,Abs annualized Vulnerable change p.p,Rel annualized Vulnerable change % change,t0 In severe poverty % pop.,t1 In severe poverty % pop.,Abs annualized severe poverty change p.p,Rel annualized severe poverty change % change,t0 Total share of pop.,t0 Total pop. Thousands,t0 Total pop. Year,t1 Total share of pop.,t1 Total pop. Thousands,t1 Total pop. Year,t0 MPI poor people Thousands,t1 MPI poor people Thousands,t0 Vulnerable people Thousands,t1 Vulnerable people Thousands,t0 MPI severe poverty Thousands,t1 MPI severe poverty Thousands,t0 Censored headcount ratio for nutrition % pop,t1 Censored headcount ratio for nutrition % pop,Abs. annualized censored headcount ratio change for nutrition p.p,Rel. annualized censored headcount ratio change for nutrition % change,t0 Censored headcount ratio for child mortality % pop,t1 Censored headcount ratio for child mortality % pop,Abs. annualized censored headcount ratio change for cilid mortality pp,Rel. annualized censored headcount ratio change for child mortality % change,t0 Censored headcount ratio for years of schooling % pop,t1 Censored headcount ratio for years of schooling % pop,Abs. annualized censored headcount ratio change for years of schooling pp,Rel. annualized censored headcount ratio change for years of schooling % change,t0 Censored headcount ratio for school attendance % pop,t1 Censored headcount ratio for school attendance % pop,Abs. annualized censored headcount ratio change for school attendance p.p,Rel. annualized censored headcount ratio change for school attendance % change,t0 Censored headcount ratio for cooking fuel % pop,t1 Censored headcount ratio for cooking fuel % pop,Abs. annualized censored headcount ratio change for cooking fuel p.p,Rel. annualized censored headcount ratio change for cooking fuel % change,t0 Censored headcount ratio for sanitation % pop,t1 Censored headcount ratio for sanitation % pop,Abs. annualized censored headcount ratio change for sanitation p.p,Rel. annualized censored headcount ratio change for sanitation % change,t0 Censored headcount ratio for drinking water % pop,t1 Censored headcount ratio for drinking water % pop,Abs. annualized censored headcount change for drinking water p.p,Rel. annualized censored headcount change for drinking water % change,t0 Censored headcount ratio for electricity % pop,t1 Censored headcount ratio for elecricity % pop,Abs. annualized censored headcount ratio change for electricity p.p,Rel. annualized censored headcount ratio change for electricity % change,t0 Censored headcount ratio for housing % pop,t1 Censored headcount ratio for housing % pop,Abs. annualized censored headcount ratio change for housing p.p,Rel. annualized censored headcount ratio change for housing % change,t0 Censored headcount ratio for assets % pop,t1 Censored headcount ratio for assets % pop,Abs. annualized censored headcount ratio change for assets p.p,Rel. annualized censored headcount ratio change for assets % change
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Balaka,0.353,0.240,-0.02,-6.75,73.06,52.33,-3.77,-5.89,48.25,45.87,-0.43,-0.91,20.80,32.52,2.13,8.47,32.08,18.96,-2.39,-9.12,0.03,387,2010,0.03,465,2016,283,243,81,151,124,88,26.98,23.71,-0.59,-2.32,5.00,4.10,-0.16,-3.53,36.05,26.67,-1.71,-5.34,17.44,5.83,-2.11,-18.07,73.06,52.33,-3.77,-5.89,68.27,24.33,-7.99,-17.10,49.97,33.00,-3.09,-7.27,72.94,52.25,-3.76,-5.88,68.23,50.19,-3.28,-5.43,45.64,39.11,-1.19,-2.77
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Balaka,0.240,0.239,0.00,-0.10,52.33,52.12,-0.05,-0.10,45.87,45.88,0.00,0.00,32.52,29.00,-0.88,-2.82,18.96,16.63,-0.58,-3.22,0.03,465,2016,0.02,424,2020,243,221,151,123,88,71,23.71,20.82,-0.72,-3.20,4.10,3.49,-0.15,-3.92,26.67,28.90,0.56,2.03,5.83,8.61,0.69,10.24,52.33,52.05,-0.07,-0.13,24.33,31.50,1.79,6.67,33.00,25.67,-1.83,-6.08,52.25,49.87,-0.60,-1.16,50.19,46.42,-0.94,-1.93,39.11,39.41,0.07,0.19
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Blantyre,0.195,0.151,-0.01,-4.51,44.71,34.14,-1.92,-4.78,43.67,44.35,0.12,0.28,24.10,29.86,1.05,3.97,14.13,7.90,-1.13,-10.02,0.08,"1,148",2010,0.07,"1,195",2016,513,408,277,357,162,94,23.50,16.25,-1.32,-6.49,7.59,5.16,-0.44,-6.77,14.67,13.43,-0.23,-1.60,6.74,3.69,-0.55,-10.36,44.71,33.99,-1.95,-4.86,42.21,23.65,-3.37,-10.00,27.90,21.97,-1.08,-4.25,35.14,28.90,-1.13,-3.49,23.98,26.12,0.39,1.57,19.99,22.37,0.43,2.07
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Blantyre,0.151,0.115,-0.01,-6.65,34.14,26.59,-1.89,-6.06,44.35,43.24,-0.28,-0.63,29.86,24.19,-1.42,-5.13,7.90,6.60,-0.33,-4.41,0.07,"1,195",2016,0.07,"1,342",2020,408,357,357,325,94,89,16.25,10.97,-1.32,-9.35,5.16,2.76,-0.60,-14.49,13.43,10.87,-0.64,-5.14,3.69,3.29,-0.10,-2.85,33.99,26.59,-1.85,-5.95,23.65,22.10,-0.39,-1.67,21.97,14.50,-1.87,-9.87,28.90,21.97,-1.73,-6.63,26.12,20.30,-1.46,-6.11,22.37,17.86,-1.13,-5.48
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Chikwawa,0.375,0.307,-0.01,-3.57,75.65,64.43,-2.04,-2.88,49.57,47.65,-0.35,-0.72,17.65,21.06,0.62,3.27,36.89,26.54,-1.88,-5.81,0.04,624,2010,0.03,552,2016,472,356,110,116,230,146,31.44,27.12,-0.78,-2.65,6.74,1.96,-0.87,-20.12,35.79,37.56,0.32,0.88,22.72,18.53,-0.76,-3.64,75.65,64.43,-2.04,-2.88,74.94,40.84,-6.20,-10.45,49.27,34.60,-2.67,-6.23,71.55,64.08,-1.36,-1.98,66.39,57.34,-1.65,-2.63,47.18,35.88,-2.05,-4.86
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Chikwawa,0.307,0.215,-0.02,-8.50,64.43,48.06,-4.09,-7.07,47.65,44.77,-0.72,-1.55,21.06,28.37,1.83,7.73,26.54,14.02,-3.13,-14.74,0.03,552,2016,0.03,609,2020,356,293,116,173,146,85,27.12,18.19,-2.23,-9.51,1.96,3.86,0.48,18.50,37.56,25.82,-2.94,-8.94,18.53,9.93,-2.15,-14.44,64.43,47.92,-4.13,-7.14,40.84,30.08,-2.69,-7.36,34.60,18.09,-4.13,-14.96,64.08,41.76,-5.58,-10.15,57.34,42.63,-3.68,-7.14,35.88,33.48,-0.60,-1.72
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Chiradzulu,0.321,0.207,-0.02,-7.63,67.52,45.05,-4.09,-7.09,47.48,45.99,-0.27,-0.58,26.66,37.96,2.05,6.64,25.76,18.23,-1.37,-6.09,0.02,320,2010,0.02,344,2016,216,155,85,130,82,63,26.76,20.60,-1.12,-4.64,6.65,2.89,-0.68,-14.07,33.39,21.65,-2.13,-7.57,9.39,5.62,-0.69,-8.92,67.52,45.05,-4.09,-7.09,65.70,25.14,-7.38,-16.03,39.36,32.04,-1.33,-3.67,67.06,44.75,-4.06,-7.09,62.78,41.27,-3.91,-7.34,46.10,32.33,-2.50,-6.25
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Chiradzulu,0.207,0.195,0.00,-1.52,45.05,44.17,-0.22,-0.49,45.99,44.10,-0.47,-1.04,37.96,35.05,-0.73,-1.97,18.23,11.88,-1.59,-10.16,0.02,344,2016,0.02,399,2020,155,176,130,140,63,47,20.60,19.87,-0.18,-0.91,2.89,3.70,0.20,6.38,21.65,20.26,-0.35,-1.65,5.62,3.59,-0.51,-10.60,45.05,44.10,-0.24,-0.53,25.14,30.04,1.22,4.55,32.04,20.01,-3.01,-11.10,44.75,40.43,-1.08,-2.51,41.27,38.71,-0.64,-1.59,32.33,35.12,0.70,2.09
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Chitipa,0.303,0.143,-0.03,-12.78,67.42,34.67,-5.95,-11.39,44.94,41.20,-0.68,-1.57,25.25,32.95,1.40,4.96,25.67,6.84,-3.42,-21.36,0.01,177,2010,0.01,176,2016,119,61,45,58,45,12,41.75,22.86,-3.43,-10.37,5.16,4.11,-0.19,-4.06,10.69,9.24,-0.26,-2.63,8.16,3.72,-0.81,-13.33,67.42,34.67,-5.95,-11.39,64.88,4.36,-11.00,-38.80,44.97,13.61,-5.70,-19.53,65.04,34.02,-5.64,-11.12,59.46,31.58,-5.07,-10.87,46.24,19.07,-4.94,-14.88
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Chitipa,0.143,0.135,0.00,-1.34,34.67,31.60,-0.77,-2.29,41.20,42.82,0.41,0.97,32.95,37.79,1.21,3.48,6.84,6.65,-0.05,-0.73,0.01,176,2016,0.01,253,2020,61,80,58,96,12,17,22.86,19.86,-0.75,-3.46,4.11,3.54,-0.14,-3.63,9.24,8.19,-0.26,-2.98,3.72,3.09,-0.16,-4.54,34.67,31.57,-0.77,-2.31,4.36,10.25,1.47,23.84,13.61,19.70,1.52,9.68,34.02,29.16,-1.21,-3.78,31.58,26.96,-1.15,-3.87,19.07,21.90,0.71,3.53
